,,Jobbik,Együtt,Fidesz - KDNP,DK,LMP,Momentum,MSZP-P
Vagyonosodási vizsgálatok sok közpénzt elnyerő vállalkozásoknál,Az állami közbeszerzésekből az elmúlt években nagy vagyonokat felhalmozó vállalkozók vagyonosodását felül kell vizsgálni.,1,1,-1,1,1,1,1
Közpénzes szerződések legyen átláthatóak,"Bármely közpénzt érintő szerződés csak akkor léphessen hatályba, ha a szerződés nyilvánosságra került egy egységes kormányzati adatbázisban.",1,1,-1,1,1,1,1
Magyarországi lakcímhez kötött szavazati jog,Az országgyűlési választásokon csak magyarországi lakcímmel rendelkező állampolgárok szavazhassanak.,-1,-1,-1,1,-1,-1,-1
Arányosabb választási rendszer,"A választási rendszer átalakítása szükséges, arányosabb képviseletet biztosító rendszert kell bevezetni.",1,1,-1,1,1,1,1
Közvetlen elnökválasztás,A köztársasági elnököt közvetlenül kellene megválasztani.,1,1,-1,1,-1,1,1
Önkormányzatok számának csökkentése,Az önkormányzatok számát csökkenteni kell a kistelepülések önkormányzatainak összevonásával.,-1,-1,1,-1,-1,1,-1
Három csapás törvény,A „három csapás” törvény hatékony eszköz az erőszakos bűncselekmények visszaszorítására.,1,-1,1,-1,-1,-1,-1
Marihuána-fogyasztás büntethetősége,A marihuána-fogyasztás büntethetőségét fenn kell tartani.,1,-1,1,1,0,1,0
Munkához kötött támogatás,"Igazságos az, hogy munkához kötik a segélyek kifizetését és az állam a közfoglalkoztatással munkalehetőséget biztosít.",1,0,1,-1,-1,0,-1
Európai ügyészség,Magyarországnak részt kellene vennie az Európai Ügyészségre vonatkozó együttműködésben.,0,1,-1,1,1,1,1
EU intergráció erősítése,Magyarország az európai integráció elmélyítésében érdekelt.,-1,1,-1,1,1,1,1
Keleti nyitás,A keleti nyitás politikáját folytatni kell.,1,0,1,-1,-1,-1,0
Orosz külpolitika,A jelenlegi orosz külpolitika fenyegetést jelent Magyarország számára.,-1,1,-1,1,1,1,1
TAO támogatások,"Fenn kell tartani a lehetőséget, hogy vállalatok társasági adójukból látványcsapatsportokat finanszírozhassanak.",1,-1,1,-1,-1,-1,-1
Egyenlő bér nőknek és férfiaknak,"Magas pénzbírsággal kellene büntetni azokat a munkaadókat, akik kevesebb fizetést adnak hasonló beosztásban dolgozó nőknek, mint férfiaknak.",0,1,-1,1,1,1,1
Sajtószabadság helyzete,Magyarországon jelenleg szabad a sajtó és a média.,-1,-1,1,-1,-1,-1,-1
Egyházak státusza,Vallási közösség egyházként történő jogi elismerése nem függhet politikai testület mérlegelésétől.,1,1,-1,1,1,1,1
Menekültek fogvatartása,"A Magyarországra érkező menedékkérőket egészen addig fogva kell tartani, ameddig nem születik döntés a kérelmükről.",1,-1,1,-1,-1,1,-1
Határkerítés,A határkerítést meg kell tartani.,1,-1,1,1,1,1,1
Bérunió,"A kormánynak fel kellene lépnie az EU minden tagállamára érvényes bérunió érdekében, ami azonos munkáért azonos bért garantál.",1,-1,-1,0,-1,-1,1
Nyugdíjrendszer - öngondoskodás,A nyugdíjrendszert a jelenlegi felosztó-kirovó rendszer helyett az öngondoskodásra kellene alapozni.,1,-1,-1,-1,-1,-1,-1
Azonos nyugdíjkorhatár,"A nőkhöz hasonlóan a férfiak számára is lehetővé kellene tenni, hogy 40 év munkaviszony után nyugdíjba mehessenek.",1,-1,-1,0,1,-1,1
Közoktatás decentralizációja,Az iskolák fenntartását és működtetését a KLIK helyett (ahol erre igény van) vissza kell adni az önkormányzatoknak.,1,1,-1,1,1,1,1
Szegregált oktatás,"Megengedhető, hogy különböző szociális hátterű, származású (pl. roma) gyerekeket elkülönítve oktassanak az iskolarendszerben.",0,-1,1,-1,-1,-1,-1
Tankötelezettség korhatárának emelése,A tankötelezettség korhatárát a jelenlegi 16 évről 18 évre kell emelni.,-1,1,-1,1,1,1,1
Rezsicsökkentés csak rászorulóknak,Csökkentett közszolgáltatási díj (rezsi) csak a szociálisan rászoruló állampolgároknak járjon.,-1,-1,-1,1,-1,1,-1
Alapjövedelem bevezetése,A közeljövőben be kell vezetni az alapjövedelem valamilyen formáját.,-1,-1,-1,1,-1,-1,1
Kormányzati beavatkozás a lakáspiacon,A kormánynak be kellene avatkoznia a lakáspiacon az albérletárak mérséklése érdekében.,1,0,-1,0,0,-1,1
Gyermekes családok kilakoltatásának tilalma,A gyermekes családok elhelyezés nélküli kilakoltatását meg kell tiltani.,1,1,-1,1,1,1,1
