id	name	question	description	weight
111	Sziget Fesztivál	A Sziget Fesztivált a fővárosnak anyagilag is támogatnia kell, mert az a főváros kiemelkedő turisztikai eseménye.	A Sziget rengeteg látogatót vonz a fővárosba, ezzel közvetve jelentős bevételt termel mások számára is, ezért vannak, akik úgy gondolják, elvárható, hogy a főváros is támogassa az eseményt. Mások szerint egy piaci alapon működő vállalkozásnak önállóan meg kell állnia a lábán.	11
112	Önkormányzati lakások	Növelni kell az önkormányzati lakásállományt (szociális lakásprogram fejlesztése).	Egyesek szerint a fővárosnak szociális lakásprogrammal, és az önkormányzati lakásállomány növelésével segítenie kell a rászorulók lakáshoz jutását. Mások szerint fővárosnak nem dolga a lakásépítés és ingatlankezelés.	12
113	Hajléktalanok kitiltása	A hajléktalanok kitiltása bizonyos közterületekről szükséges eleme a főváros hajléktalanpolitikájának, amin a jövőben sem szabad változtatni.	Egyesek szerint a városképet rontja hogy közterületeken emberek életvitelszerűen tartózkodnak. Mások szerint a legszegényebbek büntetése nem megoldása a problémának, csupán annak szőnyeg alá seprése.	13
114	Térfigyelő kamerák	Több térfigyelő kamerára van szükség.	A térfigyelő kamerák növelhetik a közbiztonságot, ezért sokak szerint szükség van továbbiak telepítésére. Jogvédők szerint az emberek magánszféráját sérti, hogy állandóan megfigyelhetik, ezért más módon kell javítani a közbiztonságon.	14
115	Budapest Pride	A Budapest Pride a város sokszínűségének fontos jelképe, a fővárosnak támogatnia kell annak megvalósulását.	A Budapest Pride egyesek szerint a város sokszínűségének egyik fontos jelképe, ezért a fővárosnak is egyértelműen ki kell állnia mellette. Mások szerint a rendezvény önmagában is kellőképpen kifejezi azt.	15
116	Főváros vs. kormány	A Főpolgármester és hivatala számára a kormánnyal szemben nagyobb autonómiát kell biztosítani.	2010 óta a főváros és az önkormányzatok hatáskörei gyengültek. Vannak, akik úgy gondolják, a kormány jobb gazdája ezen feladatoknak. Mások szerint a túlzott centralizáció helyett szélesebb jogköröket kell biztosítani az önkormányzatoknak, különösképp a fővárosnak.	16
117	Átlátható költségvetés	Szükség van arra, hogy a főváros a városlakók számára közérthetően elérhetővé tegye a város költségvetését.	A városlakóknak joguk van tudni, hogy mire mennyit költ az önkormányzatuk. Egyesek szerint meg kell könnyíteni számukra az azokról való tájékozódást táblázatok, infógrafikák segítségével. Mások szerint jelenleg is megfelelően biztosított a főváros gazdálkodásának átláthatósága.	17
118	Tűcsere program	Szükség van a jövőben átfogó fővárosi tűcsere programra.	Egyesek szerint tűcsere programmal kell segíteni a súlyosan függő kábítószer fogyasztókat fertőzések és egyéb veszélyek elkerülése érdekben. Mások szerint erélyesebben fel kell lépni a kábítószer fogyasztókkal szemben.	18
119	Főváros vs. kerületek	A kerületeknek jelenleg túl nagy az autonómiája, amit a jövőben a főváros javára csökkenteni szükséges.	Az elmúlt 25 évben rendszeresen téma, hogy a főváros működését veszélyeztetik a túl nagy hatalommal bíró, önérdekkövető kerületek, ezért növeli kell a főváros hatásköreit a kerületekkel szemben. Mások szerint ez szükségtelen központosítás, a kerületek jobban tudják képviselni a helyiek érdekeit.	19
120	Közművek	A budapesti közműszolgáltató cégeknek a legjobb gazdája a főváros.	Egyesek szerint jelentős kárt okozott a fővárosnak és lakóinak a közművek privatizációja, azokat inkább tartósan önkormányzati tulajdonban kell tartani. Máskor szerint az állam nem jó gazda, a befektetők a hatékonyabban működtetnék azokat, a fővárosnak elegendő a megfelelő szabályozást megteremtenie.	20
