id	name hu	question hu	description hu	order
17	Eurokötvény	Be kellene vezetni az eurókötvényt, amely révén az eurózóna országai közösen kezeskedhetnek egy tagállam által felvett kölcsönért.	Az eurókötvény-hálózat segítségével a befektetők hiteleket adhatnak az eurózóna területén. Az eurókötvény segíthet kilábalni a válságból a hitelek költségeinek csökkentésével olyan országoknak, mint pl. Görögország vagy Portugália. Az ellenzők szerint fennáll annak a veszélye, hogy a tagállamok az alacsonyabb kockázatok miatt felelőtlenül viselkedhetnek.	17
18	Azonos neműek házassága	A tagállamoknak el kell ismerniük a más országban kötött házasságot azonos nemű párok esetében is.	Az Emberi jogok Európai Bírósága 2010-es döntése alapján az azonos neműek közötti házasságkötés nem tartozik az elidegeníthetetlen emberi jogok közé, így a tagállamokat nem kényszerítik ennek engedélyezésére vagy elismerésére. A támogatók a homoszexuális pároknak is ugyanilyen egyenlő jogokat követelnek. Az ellenzők nem ismerik el az azonos neműek közötti házasságkötést - például vallási okok miatt.	18
19	Menekültügy	A menekültekkel kapcsolatos szabályozás legyen azonos minden európai országban.	Támogatói szerint a menedékjogot kérelmezők elhelyezésének közösségi szintre emelése segítene a menekülteknek és megelőzhetné, hogy egyik EU tagállamból a másikba vándoroljanak. Az ellenzők véleménye az, hogy minden ország helyzete különbözik ebben a tekintetben, így a szabályozását az országoknak kell megoldaniuk.	19
20	Európai adók	Az Európai Uniónak adókivetési jogot kellene adni, hogy ezzel helyettesíthesse a tagállami hozzájárulásokat a közös költségvetéshez.	Jelenleg az EU bevételeinek döntő része a tagállamok GDP-arányos hozzájárulásaiból származik. A közös európai adózás bevezetése az EU költségvetését függetlenítené a tagállamoktól.	20
21	Ukrajnai helyzet	Az Európai Uniónak nem kellene reagálnia az Ukrajnában kialakult helyzetre.	Az uniós fellépés támogatói szerint az Uniónak egységesen kellene fellépnie a Krím megszállásával szemben. Az ellenzők szerint minden tagállam maga dönthesse el, milyen lépéseket támogat vagy ellenez.  	21
22	Európai Egyesült Államok	Az Európai Unió céljaként kellene megjelölni az Európai Egyesült Államok megteremtését.	Az Európai Egyesült Államok támogatói szerint az Unió célja egy európai szuperállam létrejötte. Az ellenzők a tagállami-nemzeti szuverenitás feladását nem tartanák követendőnek.	22
23	Erasmus	Az Erasmus programot ki kellene terjeszteni a középiskolákra is.	Jelenleg a külföldi intézményekben való tanulást az Erasmus program csak a felsőoktatásban teszi lehetővé.	23
24	ÁFA	Az egész Európai Unióban egységesen, ugyanolyan mértékű ÁFÁ-t kelljen fizetni.	Az egységes ÁFA szűkítené a nemzeti kormányok lehetőségeit az adópolitika meghatározása tekintetében. Jelenleg Magyarországon a legmagasabb az ÁFA mértéke az uniós tagállamok közül.	24
25	Munkavállalók száma	Minden tagországnak lehetőséget kellene adni arra, hogy korlátozza az EU-n belülről, de más országból érkező munkavállalók számát.	A más uniós országokból, főként Közép- és Kelet-Európából érkező olcsóbb munkaerő és a fogalkoztatási célú bevándorlás korlátozása elsősorban a nyugat-európai országokban vetődött fel lehetőségként.	25
26	Euró bevezetése	Magyarországon minél előbb be kell vezetni az eurót.	Az euró bevezetése az inflációs politika feladását jelenti, ugyanakkor csökkenti a tranzakciós költségeket, ösztönzőleg hathat a külkereskedelemre és alacsonyabb reálkamatokhoz vezethet.	26
27	EP-választás	Az európai képviselők megválasztásánál ne a nemzeti, hanem az európai pártokra lehessen szavazni.	Az intézkedéssel megnőne az Európai Parlament legitimációja a javaslat támogatói szerint. Az ellenzők szerint az országgyűlési választáson is induló nemzeti pártok megfelelően látják el azt funkciót, hogy jelöltjeik képviseljék a magyar választókat az Európai Parlamentben.	27
28	Demokrácia-minimum	Az Európai Uniót fel kell hatalmazni arra, hogy pénzek megvonásával büntethesse a demokratikus szabályokat megsértő tagállamokat.	Az elmúlt években több tagállammal - pl. Romániával és Magyarországgal - szemben merült fel annak lehetősége, hogy a demokráciát sértő kormányzati intézkedések miatt az EU-t fel kellene hatalmazni egy hatékony, de a tagsági jogviszony felfüggesztésénél kevésbé drasztikus eszközzel ezek megakadályozása végett.	28
29	Energiapolitika	Az Európai Unióban közös energiapolitikára van szükség.	A közös energiapolitika lehetővé tenné az energiaellátás összehangolását az Unióban, ugyanakkor az energetika kikerülne a nemzeti kormányok által meghatározott szakterületek sorából.	29
30	Határok eltörlése	A határellenőrzést meg kellene szüntetni az EU összes tagállama között.	Jelenleg csupán az úgynevezett Schengeni övezet tagállamai között nincs határvizsgálat (Magyarország részese a megállapodásnak). A javaslat támogatói szerint ezt ki kellene terjeszteni az összes uniós tagállamra, így például az Egyesült Királyságra, Írországra és a nem teljes jogú aláírókra (Románia, Bulgária, Ciprus, Horvátország) is.	30
31				
32				
33				
34				
35				
36				
37				
38				
39				
40				
41				
